"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"AGAP9",1.54669611914355,5.6574389633145,7.30892792446624,1.13054863360116e-11,3.7083724750876e-10,16.1056122924292
"PCSK5",1.03137408443279,7.38064775029948,7.30870727640071,1.13194837498633e-11,3.7083724750876e-10,16.1044067340492
"ELTD1",1.51507586130379,5.65221982996289,7.30435307029113,1.15992356744599e-11,3.78285314051851e-10,16.0806203164428
"IRF2BPL",1.06368589930365,11.7218830113186,7.29044908437399,1.25390992123514e-11,4.05274915587269e-10,16.0047123844061
"NOMO3",1.61632775102672,5.92533125194169,7.27322201948731,1.38085433646638e-11,4.42509051959767e-10,15.9107631846769
"FYCO1",1.01836548160579,6.83696957584327,7.27315501781074,1.38137205783792e-11,4.42509051959767e-10,15.9103980041504
"AK090844",1.22070337875698,9.12914556889622,7.27169323470747,1.39271511206631e-11,4.44171513281235e-10,15.9024312418399
"NXN",1.02693631062932,8.24273578200644,7.25307161320307,1.5455265171337e-11,4.89303753341086e-10,15.801013633023
"RP11-373D23.2",1.25830432396505,6.50823036945695,7.23026022043881,1.75544762325341e-11,5.39208769951101e-10,15.6769571830399
"SSBP3-AS1",1.26446947831639,7.71342962201916,7.22955262331739,1.76239100746923e-11,5.40574748820767e-10,15.6731121934282
"MT1H",1.34176005182826,10.1617002015353,7.22765962615437,1.78109996018375e-11,5.45540588936056e-10,15.6628268373056
"RP11-334C17.5",1.75034092796376,6.2382527790709,7.21289155230774,1.93395322379063e-11,5.88198835129019e-10,15.5826335308821
"LOC728061",1.23503342488718,7.76722331071815,7.20719581681821,1.99630787979559e-11,6.04616043873756e-10,15.5517270251208
"OSMR",1.03889904739016,6.50670555263946,7.18012745005315,2.32087016328632e-11,6.93219908771934e-10,15.4050181113624
"LOC100131541",1.88210810334508,5.56138041326902,7.17515959275949,2.38586034967798e-11,7.10671332493488e-10,15.3781233994485
"MT1X",1.22431894871831,10.3873552874159,7.15953422563183,2.60221924564334e-11,7.69540681864747e-10,15.29359413594
"RAB31",1.13786849869968,10.0089101737396,7.15908199245787,2.60876151004939e-11,7.69655728884464e-10,15.2911490840675
"GABRG1",1.1323877471186,7.85098440341788,7.14020454083203,2.89684040582968e-11,8.40899182148014e-10,15.1891571369016
"PIDD1",1.03068876826591,7.04137986759365,7.12946372230234,3.07454727093201e-11,8.90812514562608e-10,15.1311884129913
"RP11-395B7.7",1.25936797474049,6.01881442324258,7.12215915527854,3.20150891672921e-11,9.15834552070951e-10,15.0917911868179
