"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"MIR646HG",2.925846392679e-55,0.782333540118616,0.377,0.215,7.34533736882063e-51
"ACTG1",4.89133054618994e-55,-0.403533158536706,0.258,0.502,1.22796853362098e-50
"CACNB1",6.78975516853537e-55,-0.365140661751206,0.111,0.298,1.7045680350608e-50
"ADCY1",7.26388472240903e-55,-0.554044866850564,0.407,0.641,1.82359825956079e-50
"ZNF770",7.46049394158135e-55,-0.356428359632144,0.114,0.303,1.872957004034e-50
"DCX",8.81908206778108e-55,-0.309161417660567,0.154,0.364,2.21403055311644e-50
"CNTNAP1",9.13866111427647e-55,-0.386565220295923,0.093,0.269,2.29426087273911e-50
"PRR36",9.75477887509714e-55,-0.303820508307395,0.118,0.314,2.44893723659314e-50
"RASGRF1",9.94381556761324e-55,-0.291685092135892,0.153,0.37,2.4963948982493e-50
"HS6ST1",1.0824073121424e-54,-0.3256014607727,0.124,0.319,2.71738355713351e-50
"ATPAF1",1.46067023298671e-54,-0.339519744704247,0.155,0.368,3.66701261991315e-50
"MAPK6",1.49203601462706e-54,-0.356289697433824,0.16,0.372,3.74575641472123e-50
"STAT4",2.28486560167592e-54,-0.410655627264044,0.236,0.46,5.73615509300739e-50
"CAMSAP2",2.34415917003857e-54,-0.415376016107902,0.532,0.771,5.88501159638183e-50
"CALM3",2.35246309519803e-54,-0.483585821504749,0.434,0.693,5.90585860049466e-50
"AASDHPPT",3.88247377558244e-54,-0.361836452105972,0.152,0.358,9.74695041359972e-50
"YWHAB",3.91593516262857e-54,-0.484717476573584,0.365,0.611,9.83095522577903e-50
"RAB5B",4.72340183093866e-54,-0.320208685871031,0.139,0.343,1.18581002965715e-49
"PDE1A",5.05383502807271e-54,0.665583635413647,0.683,0.526,1.26876528379765e-49
"CCK",7.54599483190351e-54,-0.589511601724641,0.262,0.483,1.89442200254938e-49
"ZDHHC11B",8.33073733275128e-54,-0.306067213740143,0.187,0.407,2.09143160738721e-49
"RPL4",1.45318048407429e-53,-0.323504676207122,0.118,0.308,3.6482096052685e-49
"RNPS1",1.52081658405336e-53,-0.339925044643109,0.234,0.47,3.81801003426597e-49
"MT3",1.5738014744179e-53,-0.444621099008463,0.237,0.476,3.95102860152614e-49
"KCNQ5",2.07967938918495e-53,0.443731445897905,0.909,0.837,5.2210351065488e-49
"PALLD",2.17620997906796e-53,-0.280616962300094,0.176,0.398,5.4633751524501e-49
"IGSF8",2.29951111309711e-53,-0.277745609814093,0.216,0.445,5.77292264943029e-49
"KCNJ4",3.68628502109481e-53,-0.337743955288549,0.083,0.252,9.25441854545852e-49
"CNTN1",4.18489587676321e-53,0.376002435411377,0.892,0.889,1.0506181098614e-48
"CBX1",5.21045383145745e-53,-0.308027281512101,0.097,0.276,1.30808443438739e-48
"FXYD7",5.49319732336397e-53,-0.474919658464353,0.245,0.464,1.37906718803052e-48
"GPR22",7.42676249619376e-53,-0.322748746144772,0.115,0.3,1.86448872466944e-48
"LONRF2",9.52103138162755e-53,-0.416116682126914,0.41,0.667,2.3902549283576e-48
"DDX17",1.33363071838068e-52,-0.367176177080332,0.661,0.834,3.34807991849471e-48
"NUCB1",1.87024353706343e-52,-0.298012024988713,0.096,0.274,4.69524639979774e-48
"NRXN2",2.23941058912409e-52,-0.417732893472995,0.404,0.664,5.62204028399603e-48
"H1FX",2.36939248591213e-52,-0.347690477004941,0.236,0.47,5.9483598358824e-48
"CAMTA1",2.83676243283755e-52,-0.415108368759993,0.655,0.83,7.12169208763867e-48
"ARNT2",2.86151760364491e-52,-0.359452537420338,0.504,0.745,7.18383994395054e-48
"GABARAPL1",4.0114741291053e-52,-0.370478186752757,0.138,0.336,1.00708058011189e-47
"ZYG11B",4.8546389328919e-52,-0.399796216592401,0.335,0.59,1.21875710410251e-47
"NTRK2",5.91645197777163e-52,-0.426247628703456,0.783,0.893,1.48532526901957e-47
"SLC25A6",6.17509076749135e-52,-0.344790444918857,0.107,0.289,1.5502565371787e-47
"NARS",6.8932387508058e-52,-0.360751201665411,0.111,0.294,1.7305475883898e-47
"NRG1",1.12760188545766e-51,0.765130422547365,0.567,0.395,2.83084453344145e-47
"SLC25A36",1.74392688835699e-51,-0.393311615054456,0.268,0.503,4.37812845322021e-47
"RNMT",2.16311954558715e-51,-0.386232703900525,0.266,0.504,5.43051161919653e-47
"AFAP1",2.31029900401644e-51,-0.34792954292498,0.1,0.273,5.80000564958327e-47
"ATP2A2",2.68459840587357e-51,-0.368129073672352,0.368,0.627,6.73968429794561e-47
"STMN1",2.98702944138115e-51,-0.442363358902626,0.248,0.476,7.49893741258738e-47
"CTSB",3.14274803192551e-51,-0.339292987493546,0.154,0.355,7.88986893414899e-47
"NUDT21",3.23623744666478e-51,-0.361696091791265,0.157,0.358,8.12457410985193e-47
"SYN1",3.4987422609095e-51,-0.464459798498367,0.469,0.723,8.7835924460133e-47
"WDR45B",4.04124492302834e-51,-0.32148337557359,0.132,0.324,1.01455453792626e-46
"GRM3",4.83563711549562e-51,0.887986371062571,0.418,0.258,1.21398669784517e-46
